Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,37.106666564941406,37.97999954223633,36.67333221435547,37.33333206176758,37.209205627441406,1684350
2020-10-07,37.619998931884766,38.233333587646484,37.54666519165039,38.073333740234375,37.946746826171875,1596300
2020-10-08,38.1533317565918,38.21333312988281,37.70000076293945,38.01333236694336,37.88694381713867,733500
2020-10-09,38.233333587646484,38.35333251953125,37.793331146240234,38.313331604003906,38.185943603515625,898650
2020-10-12,38.45333480834961,38.98666763305664,38.34000015258789,38.9466667175293,38.81717300415039,1252800
2020-10-13,38.866668701171875,39.29999923706055,38.746665954589844,39.15999984741211,39.0297966003418,925200
2020-10-14,39.11333465576172,39.4466667175293,38.87333297729492,39.19333267211914,39.063018798828125,801750
2020-10-15,38.96666717529297,39.95333480834961,38.720001220703125,39.64666748046875,39.51484680175781,2472750
2020-10-16,39.813331604003906,40.47999954223633,39.70000076293945,39.8466682434082,39.71418380737305,1500000
2020-10-19,39.79999923706055,40.2400016784668,39.1533317565918,39.47999954223633,39.348731994628906,1716000
2020-10-20,39.62666702270508,40.31999969482422,39.599998474121094,39.83333206176758,39.70089340209961,1170750
2020-10-21,39.93333435058594,40.06666564941406,39.413333892822266,39.473331451416016,39.34208679199219,981600
2020-10-22,39.58000183105469,39.80666732788086,39.20000076293945,39.633331298828125,39.501556396484375,1317900
2020-10-23,39.65999984741211,40.35333251953125,39.47999954223633,40.133331298828125,39.99989318847656,1137900
2020-10-26,39.939998626708984,39.939998626708984,39.35333251953125,39.66666793823242,39.53478240966797,1679100
2020-10-27,39.77333450317383,39.893333435058594,39.293331146240234,39.526668548583984,39.39524841308594,1466250
2020-10-28,38.880001068115234,41.619998931884766,38.119998931884766,40.90666580200195,40.77065658569336,3656100
2020-10-29,41.14666748046875,41.14666748046875,39.46666717529297,39.46666717529297,39.335445404052734,3349950
2020-10-30,39.2599983215332,39.426666259765625,38.206668853759766,38.56666564941406,38.438438415527344,2415750
2020-11-02,38.78666687011719,39.293331146240234,38.586666107177734,38.766666412353516,38.63777160644531,2150100
2020-11-03,39.11333465576172,39.70000076293945,39.00666809082031,39.61333465576172,39.481624603271484,1962150
2020-11-04,39.78666687011719,41.2400016784668,39.573333740234375,40.88666534423828,40.7507209777832,1592400
2020-11-05,41.35333251953125,42.560001373291016,41.33333206176758,42.19333267211914,42.05304718017578,1665600
2020-11-06,42.2400016784668,42.586666107177734,41.93333435058594,42.106666564941406,41.96666717529297,939450
2020-11-09,42.633331298828125,43.0,37.959999084472656,37.959999084472656,37.959999084472656,2544450
2020-11-10,37.973331451416016,38.58000183105469,37.459999084472656,37.87333297729492,37.87333297729492,1852500
2020-11-11,38.06666564941406,39.753334045410156,37.926666259765625,39.59333419799805,39.59333419799805,1527900
2020-11-12,39.68000030517578,39.959999084472656,38.85333251953125,39.026668548583984,39.026668548583984,807750
2020-11-13,39.19333267211914,39.56666564941406,38.766666412353516,39.220001220703125,39.220001220703125,876900
2020-11-16,39.08000183105469,39.439998626708984,37.90666580200195,39.28666687011719,39.28666687011719,1276050
2020-11-17,39.16666793823242,39.70000076293945,38.459999084472656,38.66666793823242,38.66666793823242,1157250
2020-11-18,38.686668395996094,39.106666564941406,38.34000015258789,38.426666259765625,38.426666259765625,1243050
2020-11-19,38.67333221435547,39.30666732788086,38.220001220703125,39.133331298828125,39.133331298828125,1449150
