Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,243.91000366210938,244.41000366210938,240.16000366210938,241.00999450683594,239.66859436035156,1913500
2020-10-07,241.19000244140625,243.50999450683594,241.19000244140625,241.77000427246094,240.42437744140625,2048000
2020-10-08,243.75999450683594,246.5399932861328,242.86000061035156,243.55999755859375,242.20440673828125,2501100
2020-10-09,244.27000427246094,246.38999938964844,243.14999389648438,244.67999267578125,243.3181610107422,1538700
2020-10-12,245.25,247.77999877929688,244.3300018310547,246.3800048828125,245.0087127685547,1430400
2020-10-13,245.14999389648438,246.5500030517578,241.4199981689453,242.41000366210938,241.06080627441406,1622100
2020-10-14,242.8800048828125,243.27999877929688,238.0800018310547,238.5,237.1725616455078,2049300
2020-10-15,238.5500030517578,242.14999389648438,237.5,239.60000610351562,238.26644897460938,1790900
2020-10-16,239.6999969482422,244.0800018310547,239.16000366210938,242.72000122070312,241.36907958984375,1480000
2020-10-19,243.66000366210938,245.6999969482422,239.16000366210938,239.60000610351562,238.26644897460938,1323600
2020-10-20,241.67999267578125,245.72999572753906,240.6300048828125,243.8000030517578,242.4430694580078,1407300
2020-10-21,243.36000061035156,245.9600067138672,241.30999755859375,241.74000549316406,240.39453125,1100500
2020-10-22,241.3300018310547,241.61000061035156,235.13999938964844,235.77000427246094,234.457763671875,1836600
2020-10-23,236.63999938964844,239.3699951171875,235.66000366210938,237.72000122070312,236.39691162109375,1057200
2020-10-26,235.55999755859375,237.88999938964844,233.39999389648438,237.1199951171875,235.8002471923828,1657600
2020-10-27,238.92999267578125,240.97999572753906,236.02999877929688,236.16000366210938,234.84559631347656,1433200
2020-10-28,233.82000732421875,237.32000732421875,229.25,230.1300048828125,228.84915161132812,2449000
2020-10-29,233.47000122070312,236.3699951171875,230.6699981689453,231.64999389648438,230.36068725585938,1693300
2020-10-30,230.0,232.5,226.5,229.64999389648438,228.37181091308594,1621300
2020-11-02,232.5800018310547,233.60000610351562,229.27000427246094,233.49000549316406,232.19046020507812,1551200
2020-11-03,235.5399932861328,237.22999572753906,233.5,234.22999572753906,232.92633056640625,1268800
2020-11-04,234.6999969482422,243.24000549316406,234.6999969482422,237.07000732421875,235.7505340576172,2434000
2020-11-05,240.27999877929688,242.7899932861328,237.82000732421875,239.9199981689453,238.58465576171875,1877400
2020-11-06,239.91000366210938,243.58999633789062,238.66000366210938,242.14999389648438,240.80224609375,1181400
2020-11-09,249.16000366210938,253.0800018310547,236.9499969482422,237.97999572753906,236.65545654296875,2423600
2020-11-10,238.92999267578125,238.92999267578125,230.22000122070312,232.3800048828125,231.08663940429688,2717400
2020-11-11,234.82000732421875,241.47999572753906,233.32000732421875,238.4499969482422,237.1228485107422,1573700
